Price,Open,High,Low,Close
Ticker,BNB-USD,BNB-USD,BNB-USD,BNB-USD
Date,,,,
2024-06-01 00:00:00+00:00,593.5223388671875,607.5828857421875,592.6806030273438,601.30419921875
2024-06-02 00:00:00+00:00,601.3041381835938,604.9780883789062,596.164794921875,603.026611328125
2024-06-03 00:00:00+00:00,603.0509643554688,637.2471313476562,601.1831665039062,626.4329833984375
2024-06-04 00:00:00+00:00,626.4329833984375,687.40380859375,625.2649536132812,686.201416015625
2024-06-05 00:00:00+00:00,686.201416015625,712.58837890625,685.777099609375,698.889404296875
2024-06-06 00:00:00+00:00,698.889404296875,720.672607421875,692.9947509765625,710.4640502929688
2024-06-07 00:00:00+00:00,710.4603881835938,710.8385009765625,665.18017578125,683.3609619140625
2024-06-08 00:00:00+00:00,683.3685913085938,694.3128051757812,678.6458129882812,682.6651611328125
2024-06-09 00:00:00+00:00,682.6638793945312,684.7598876953125,670.8135375976562,673.3153076171875
2024-06-10 00:00:00+00:00,673.33544921875,674.3134765625,615.77294921875,624.3868408203125
2024-06-11 00:00:00+00:00,624.3967895507812,628.2633666992188,597.0418701171875,602.55810546875
2024-06-12 00:00:00+00:00,602.6026000976562,634.6758422851562,592.2932739257812,619.19482421875
2024-06-13 00:00:00+00:00,619.2251586914062,619.298583984375,596.3087768554688,599.5150756835938
2024-06-14 00:00:00+00:00,599.4786987304688,611.6287231445312,590.496337890625,603.1805419921875
2024-06-15 00:00:00+00:00,603.1141967773438,609.0504760742188,601.5859375,607.8029174804688
2024-06-16 00:00:00+00:00,607.8084716796875,611.197509765625,601.4769287109375,610.0540161132812
2024-06-17 00:00:00+00:00,610.0736694335938,611.9440307617188,592.4261474609375,604.4673461914062
2024-06-18 00:00:00+00:00,604.3328857421875,604.65283203125,575.76171875,588.7020874023438
2024-06-19 00:00:00+00:00,588.584716796875,605.731689453125,587.01416015625,598.771728515625
2024-06-20 00:00:00+00:00,598.771728515625,607.4007568359375,584.7599487304688,587.107177734375
2024-06-21 00:00:00+00:00,587.1126098632812,588.7054443359375,578.015869140625,585.9119262695312
2024-06-22 00:00:00+00:00,585.9009399414062,590.9393310546875,581.1376342773438,590.7633666992188
2024-06-23 00:00:00+00:00,590.6715698242188,592.7726440429688,576.0581665039062,577.2108764648438
2024-06-24 00:00:00+00:00,577.222900390625,581.2367553710938,552.9365234375,567.578125
2024-06-25 00:00:00+00:00,567.653076171875,579.1007690429688,566.8991088867188,578.1034545898438
2024-06-26 00:00:00+00:00,578.1137084960938,584.1988525390625,567.8788452148438,572.4017944335938
2024-06-27 00:00:00+00:00,572.3585205078125,583.7315063476562,566.4297485351562,580.7982788085938
2024-06-28 00:00:00+00:00,580.865966796875,584.3499755859375,565.00537109375,566.4644775390625
2024-06-29 00:00:00+00:00,566.4916381835938,572.9425659179688,566.06591796875,569.127685546875
